Title,Price
M Senyum,
Putra Heights : The Serenade,
"D'Suites, Horizon Hills","650,800 - RM 813,800"
Molek Regency,"432,000"
Saujana Impian,"1,800,000.00"
R&F Princess Cove,"720,000"
R&F Princess Cove,"850,000"
Terrace Double Storey Bukit Sekilau [Renovated] [OpenTitle] [Bebas Banjir],"540,000"
【Airbnb Hotspot No.1】Fully Furnished and High Return Project,"480,000"
Extensive Renovated 2.5 Storey Corner House @ Bandar Nusaputra Puchong - Near Cyberjaya & Putrajaya,"1,500,000"
R&F Princess Cove,"1,020,000"
Affiniti Residences,"1,150,000"
Kampung Pandan,"1,890,000"
PJ Limited unit!! Super Spacious Extra Land up to 50'x128'!!,"1,700,000"
Bukit Jalil Duplex Sky Bungalow Condo with Big Balcony,"689,000"
VIM 3 @ Desa Park North,"440,000"
VIM 3 @ Desa Park North,"350,000"
M-Suite @ Bandar Manjalara,"440,000"
M-Suite @ Bandar Manjalara,"530,000"
M-Suite @ Bandar Manjalara,"560,000"
Mont Kiara Sophia,"780,000"
Sepah Puteri,"1,790,000"
Skyridge Garden @ Tanjung Tokong,"738,000"
